scenario_id,source_template_id,source_transaction_hash,scenario_variant,old_expected_decision,new_expected_decision,old_expected_risk_level,new_expected_risk_level,old_violation_types,new_violation_types,reason
psbevm_v4_8_000091,rw_level2_v4_7_000016,0xe96512049ae1e13c611ad2a7fbf9229fe8427eedf2ec2a064d7d3b70d332d380,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000092,rw_level2_v4_7_000016,0xe96512049ae1e13c611ad2a7fbf9229fe8427eedf2ec2a064d7d3b70d332d380,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000109,rw_level2_v4_7_000019,0x0acac62196d9187c7ea491cbc64e7bd2650f1c76fa0735e975ee7c47eeb4f07a,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000110,rw_level2_v4_7_000019,0x0acac62196d9187c7ea491cbc64e7bd2650f1c76fa0735e975ee7c47eeb4f07a,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000115,rw_level2_v4_7_000020,0xa49657f856f0dc4881b3eacdbd59f9cad2f4916d49c4719a2482b54bf4cbd53f,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000116,rw_level2_v4_7_000020,0xa49657f856f0dc4881b3eacdbd59f9cad2f4916d49c4719a2482b54bf4cbd53f,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000127,rw_level2_v4_7_000022,0x1e4778ee2ea71fc8819dd17a792dd6ae2007aa1842a35c3bf26e7f1d9f910759,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000128,rw_level2_v4_7_000022,0x1e4778ee2ea71fc8819dd17a792dd6ae2007aa1842a35c3bf26e7f1d9f910759,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000133,rw_level2_v4_7_000023,0xef0c56f11a01b749ce3d77f35cf0e5ad34053d6a297cb8b590e6b64f062e7084,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000134,rw_level2_v4_7_000023,0xef0c56f11a01b749ce3d77f35cf0e5ad34053d6a297cb8b590e6b64f062e7084,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
