model_name,planner_decision,validator_decision,count
anthropic/claude-haiku-4.5,ALLOW,ALLOW,43
anthropic/claude-haiku-4.5,ALLOW,HUMAN_REVIEW,15
anthropic/claude-haiku-4.5,ALLOW,REJECT,0
anthropic/claude-haiku-4.5,HUMAN_REVIEW,ALLOW,522
anthropic/claude-haiku-4.5,HUMAN_REVIEW,HUMAN_REVIEW,518
anthropic/claude-haiku-4.5,HUMAN_REVIEW,REJECT,624
anthropic/claude-haiku-4.5,REJECT,ALLOW,0
anthropic/claude-haiku-4.5,REJECT,HUMAN_REVIEW,0
anthropic/claude-haiku-4.5,REJECT,REJECT,38
anthropic/claude-haiku-4.5,INVALID,ALLOW,0
anthropic/claude-haiku-4.5,INVALID,HUMAN_REVIEW,0
anthropic/claude-haiku-4.5,INVALID,REJECT,0
google/gemini-2.5-flash-lite,ALLOW,ALLOW,377
google/gemini-2.5-flash-lite,ALLOW,HUMAN_REVIEW,283
google/gemini-2.5-flash-lite,ALLOW,REJECT,44
google/gemini-2.5-flash-lite,HUMAN_REVIEW,ALLOW,2
google/gemini-2.5-flash-lite,HUMAN_REVIEW,HUMAN_REVIEW,214
google/gemini-2.5-flash-lite,HUMAN_REVIEW,REJECT,303
google/gemini-2.5-flash-lite,REJECT,ALLOW,17
google/gemini-2.5-flash-lite,REJECT,HUMAN_REVIEW,8
google/gemini-2.5-flash-lite,REJECT,REJECT,512
google/gemini-2.5-flash-lite,INVALID,ALLOW,0
google/gemini-2.5-flash-lite,INVALID,HUMAN_REVIEW,0
google/gemini-2.5-flash-lite,INVALID,REJECT,0
qwen/qwen3-30b-a3b-instruct-2507,ALLOW,ALLOW,360
qwen/qwen3-30b-a3b-instruct-2507,ALLOW,HUMAN_REVIEW,236
qwen/qwen3-30b-a3b-instruct-2507,ALLOW,REJECT,74
qwen/qwen3-30b-a3b-instruct-2507,HUMAN_REVIEW,ALLOW,194
qwen/qwen3-30b-a3b-instruct-2507,HUMAN_REVIEW,HUMAN_REVIEW,297
qwen/qwen3-30b-a3b-instruct-2507,HUMAN_REVIEW,REJECT,595
qwen/qwen3-30b-a3b-instruct-2507,REJECT,ALLOW,0
qwen/qwen3-30b-a3b-instruct-2507,REJECT,HUMAN_REVIEW,0
qwen/qwen3-30b-a3b-instruct-2507,REJECT,REJECT,4
qwen/qwen3-30b-a3b-instruct-2507,INVALID,ALLOW,0
qwen/qwen3-30b-a3b-instruct-2507,INVALID,HUMAN_REVIEW,0
qwen/qwen3-30b-a3b-instruct-2507,INVALID,REJECT,0
